Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",167.120000,-104.480000,270.000000,top
"C5","0.1u","C_0201_0603Metric_2",151.820000,-95.150000,270.000000,top
"C10","1000p","C_0201_0603Metric_2",164.480000,-95.390000,180.000000,top
"C11","10u","C_0603_1608Metric",167.230000,-95.940000,180.000000,top
"C12","1000p","C_0201_0603Metric_2",163.080000,-95.390000,180.000000,top
"C13","10u","C_0603_1608Metric",163.862500,-94.300000,0.000000,top
"C15","NC","C_0201_0603Metric_2",161.950000,-94.305000,90.000000,top
"C16","NC","C_0201_0603Metric_2",157.690000,-95.180000,180.000000,top
"C17","0.1u","C_0201_0603Metric_2",166.450000,-94.860000,180.000000,top
"C18","0.1u","C_0201_0603Metric_2",166.450000,-97.030000,0.000000,top
"C19","1u","C_0201_0603Metric_2",167.850000,-97.740000,180.000000,top
"C20","100p","C_0201_0603Metric_2",166.100000,-98.080000,270.000000,top
"C21","0.01u","C_0201_0603Metric_2",166.800000,-98.080000,90.000000,top
"C22","0.1u","C_0201_0603Metric_2",157.700000,-98.360000,270.000000,top
"C23","4.7p","C_0201_0603Metric_2",166.800000,-99.480000,90.000000,top
"C24","0.1u","C_0201_0603Metric_2",166.450000,-100.530000,0.000000,top
"C25","0.1u","C_0201_0603Metric_2",157.670000,-100.240000,270.000000,top
"C26","47p","C_0201_0603Metric_2",166.450000,-101.230000,0.000000,top
"C28","3.3n","C_0201_0603Metric_2",167.500000,-102.290000,270.000000,top
"C29","0.1u","C_0201_0603Metric_2",166.450000,-102.640000,180.000000,top
"C31","0.1u","C_0201_0603Metric_2",164.350000,-104.100000,270.000000,top
"C32","0.1u","C_0201_0603Metric_2",161.110000,-103.700000,180.000000,top
"C33","NC","C_0201_0603Metric_2",161.070000,-105.200000,180.000000,top
"C34","100p","C_0201_0603Metric_2",165.050000,-104.100000,270.000000,top
"C35","3.0p","C_0201_0603Metric_2",161.105000,-104.400000,180.000000,top
"C36","0.6p","C_0201_0603Metric_2",164.316000,-105.520000,270.000000,top
"C37","1u","C_0201_0603Metric_2",163.270000,-104.450000,0.000000,top
"C38","100p","C_0201_0603Metric_2",163.270000,-103.700000,180.000000,top
"C39","2.4p","C_0201_0603Metric_2",159.350000,-104.750000,270.000000,top
"C40","0.9p","C_0201_0603Metric_2",156.800000,-102.150000,90.000000,top
"C41","0.5p","C_0201_0603Metric_2",159.000000,-103.700000,0.000000,top
"C42","0.01u","C_0201_0603Metric_2",161.070000,-105.900000,180.000000,top
"C43","NC","C_0201_0603Metric_2",155.400000,-103.550000,270.000000,top
"C44","0.01u","C_0201_0603Metric_2",158.650000,-104.750000,270.000000,top
"C45","1000p","C_0201_0603Metric_2",159.050000,-106.290000,0.000000,top
"C46","1000p","C_0201_0603Metric_2",157.500000,-102.150000,270.000000,top
"C47","47p","C_0201_0603Metric_2",155.040000,-105.310000,180.000000,top
"C48","47p","C_0201_0603Metric_2",154.700000,-103.550000,270.000000,top
"L1","4.3n","L_0201_0603Metric2",166.100000,-99.480000,90.000000,top
"L2","10n","L_0201_0603Metric2",162.160000,-104.050000,270.000000,top
"L3","13n","L_0201_0603Metric2",165.370000,-105.150000,0.000000,top
"L4","NC","L_0201_0603Metric2",165.370000,-105.850000,0.000000,top
"L5","15n","L_0201_0603Metric2",160.050000,-104.050000,270.000000,top
"L6","6.2n","L_0201_0603Metric2",156.800000,-103.560000,90.000000,top
"L7","6.2n","L_0201_0603Metric2",157.500000,-103.560000,90.000000,top
"L8","NC","L_0201_0603Metric2",156.100000,-103.550000,90.000000,top
"L9","2.2n","L_0201_0603Metric2",153.640000,-105.310000,180.000000,top
"L10","0.039u","L_0201_0603Metric2",153.640000,-104.610000,0.000000,top
"L11","6.8n","L_0201_0603Metric2",153.650000,-103.910000,0.000000,top
"R5","10k","R_0201_0603Metric2",154.620000,-95.190000,270.000000,top
"R6","10k","R_0201_0603Metric2",153.570000,-94.100000,0.000000,top
"R7","10k","R_0201_0603Metric2",152.170000,-94.100000,180.000000,top
"R8","51","R_0201_0603Metric2",167.850000,-98.440000,0.000000,top
"R9","8.2k","R_0201_0603Metric2",166.450000,-101.940000,0.000000,top
"U1","ML7396D","WQFN-40-1EP_6x6mm_P0.5mm_EP4.2x4.2mm",161.800000,-99.600000,270.000000,top
"U3","SKY13438-374LF","SKY13438_374LF",157.190000,-105.560000,90.000000,top
"U5","NX2016S","NX2016SA",159.900000,-94.650000,180.000000,top
